,Title,Publish_date,views,comments,likes,Duration,video_link
0,BB Ki Vines Productions | Haseen Raat | Taaza Khabar | Official Video |,21 Jan 2023,"10,866,369","17,628",500K,3:19,https://www.youtube.com/watch?v=Nwh6CQ50h0g
1,BB Ki Vines | Angry Masterji Part 16,Premiered on 3 Jan 2023,"16,671,177","62,736",1.9M,10:41,https://www.youtube.com/watch?v=HbTON0nb4DU
2,BB Ki Vines Productions- Taaza Khabar | Hotstar Specials | Official Trailer,Premiered on 13 Dec 2022,"19,973,395","31,389",639K,1:50,https://www.youtube.com/watch?v=zm6xa3ggt5A
3,BB Ki Vines (Vlog #8)- | BB in Dubai |,27 Aug 2022,"8,957,292","76,220",987K,14:02,https://www.youtube.com/watch?v=xNTW2KfErTM
4,BB Ki Vines Productions - Taaza Khabar | Now Filming,10 Jun 2022,"9,834,726","19,583",952K,1:02,https://www.youtube.com/watch?v=cVPI4ppiDSA
5,BB Ki Vines- | Automatic Gaadi |,25 Mar 2022,"22,793,896","122,205",2.3M,7:11,https://www.youtube.com/watch?v=xna_PkWzPVE
6,"BB Ki Vines- | Titu Talks- Episode 4 ft. SS Rajamouli, Ram Charan, NTR Jr. |",Premiered on 15 Mar 2022,"20,376,654","29,366",2M,13:46,https://www.youtube.com/watch?v=PgKxqbXO198
7,Dhindora | Saazish | Offical Lyrical Video | BB Ki Vines,16 Dec 2021,"12,957,310","30,752",1.1M,4:07,https://www.youtube.com/watch?v=WEExPj6CMss
8,Dhindora | Official Music Video | BB Ki Vines,Premiered on 9 Dec 2021,"56,578,040","175,839",4.3M,4:11,https://www.youtube.com/watch?v=l8zlKap1JEo
9,Dhindora | EP 08: Samay Ka Pahiya | BB Ki Vines | Season Finale,Premiered on 2 Dec 2021,"34,294,486","160,176",2.7M,17:28,https://www.youtube.com/watch?v=TjyHk-4OHI4
10,Dhindora | EP 07: Toota Ek Taara | BB Ki Vines,Premiered on 25 Nov 2021,"36,825,137","201,528",2.9M,21:14,https://www.youtube.com/watch?v=HHQ68FnjAvY
11,Dhindora | EP 06: DTYDHTB | BB Ki Vines,Premiered on 18 Nov 2021,"37,384,668","175,685",2.6M,16:11,https://www.youtube.com/watch?v=A0wcdnzzyIE
12,Dhindora | EP 05: Erection In Progress | BB Ki Vines,Premiered on 11 Nov 2021,"40,683,409","123,080",2.9M,16:49,https://www.youtube.com/watch?v=JalYXTCm-pc
13,Dhindora | EP 04: Saste Sherlock | BB Ki Vines,Premiered on 4 Nov 2021,"42,629,253","114,911",2.9M,19:59,https://www.youtube.com/watch?v=Q9bsSQgBanc
14,Dhindora | EP 03: Nano Thug Lenge | BB Ki Vines,Premiered on 28 Oct 2021,"45,058,714","150,240",3.1M,16:50,https://www.youtube.com/watch?v=-7WqO6gi8H0
15,Dhindora | EP 02: Baasi Roti | BB Ki Vines,Premiered on 21 Oct 2021,"49,589,294","134,482",3.5M,14:54,https://www.youtube.com/watch?v=7oKiAPIJ7nU
16,Dhindora | EP 01: Lag Gayi | BB Ki Vines,Premiered on 14 Oct 2021,"66,921,937","214,831",4.6M,21:53,https://www.youtube.com/watch?v=Y_2y4y0kQig
17,Dhindora | Official Trailer | BB Ki Vines,Premiered on 5 Oct 2021,"37,890,226","158,988",3.2M,2:09,https://www.youtube.com/watch?v=IUsiTOUo3HE
18,Titu Mama Ka Gyaan | Holi Party | BB Ki Vines,Premiered on 29 Mar 2021,"37,235,207","89,891",2.7M,8:08,https://www.youtube.com/watch?v=OGMm7g0tdRA
19,BB Ki Vines- | Pitaji Got Talent |,Premiered on 4 Feb 2021,"25,667,532","87,920",2.4M,6:46,https://www.youtube.com/watch?v=_9sAX5R0qB4
20,BB Ki Vines- | Ask BB- Episode 7 |,15 Jan 2021,"14,733,163","44,608",1.3M,8:01,https://www.youtube.com/watch?v=qHbKQqJOcrU
21,BB Ki Vines- | Kyun Sameer Kyun? |,Premiered on 22 Oct 2020,"39,119,272","126,104",2.8M,6:22,https://www.youtube.com/watch?v=8n49WTTPaM0
22,BB Ki Vines- | ManglooSutra |,30 Sept 2020,"31,165,710","113,565",2.4M,6:42,https://www.youtube.com/watch?v=BslKbJkOm98
23,Bandook Ya Lighter? | Latika | BB Ki Vines,Premiered on 22 Aug 2020,"38,260,424","116,831",3.1M,6:24,https://www.youtube.com/watch?v=xn77xK5WeRI
24,Heer Ranjha - Bhuvan Bam | Official Music Video |,12 Jul 2020,"22,157,083","145,180",2.3M,4:07,https://www.youtube.com/watch?v=kSFJGEHDCrQ
25,BB Ki Vines- | Sameer Vs Hola - The Ultimate Roast |,Premiered on 3 Jul 2020,"25,361,475","59,610",2.4M,5:21,https://www.youtube.com/watch?v=NrdZBDh2r9o
26,BB Ki Vines- | Titu Talks- Episode 3 ft. Lifelines Of Society |,26 May 2020,"17,650,574","127,068",3.1M,14:43,https://www.youtube.com/watch?v=mOLlhfxGhVk
27,BB Ki Vines- | Lockdown Queen |,Premiered on 10 May 2020,"23,743,029","41,303",2.2M,6:48,https://www.youtube.com/watch?v=s4aY3VAIViw
28,Bubbly Sir Ki Lockdown Life! | Angry Masterji 15 | BB Ki Vines,Premiered on 16 Apr 2020,"58,712,944","97,387",3.1M,6:43,https://www.youtube.com/watch?v=xgXnDnf0cHY
29,BB Ki Vines- | Time To Be A Hero |,21 Mar 2020,"14,215,866","34,442",1.7M,4:05,https://www.youtube.com/watch?v=6xmcYOq1r7I
30,First Impression is the Last Impression | Business call | BB Ki Vines,7 Mar 2020,"27,827,928","40,107",1.8M,7:44,https://www.youtube.com/watch?v=QQF4Uz4CZMg
31,BB Ki Vines (Vlog #7)- | BB in Davos |,22 Feb 2020,"7,604,440","17,290",540K,10:46,https://www.youtube.com/watch?v=vQ_5BsUIxQk
32,Pyaar Ki Taakat | Valentine Shopping | BB Ki Vines,11 Feb 2020,"34,001,067","102,459",2.4M,7:21,https://www.youtube.com/watch?v=jqp0lqrfQwQ
33,BB Ki Vines- | Doctor Sehgal- (Seedhe Ji) |,2 Feb 2020,"16,528,625","57,251",1.1M,4:00,https://www.youtube.com/watch?v=zio4wp5tFZ8
34,WhatsApp ki Taakat! | What the Bunk | BB Ki Vines,14 Jan 2020,"30,161,205","41,186",1.7M,5:37,https://www.youtube.com/watch?v=RXeLbs_ogDU
35,BB Ki Vines- | My Duty |,Premiered on 4 Dec 2019,"21,647,944","97,727",Show chat replay,5:28,https://www.youtube.com/watch?v=Hk3GMLrlCEo
36,BB Ki Vines- | Ask BB- Episode 6 |,19 Nov 2019,"17,485,183","30,004",1M,9:39,https://www.youtube.com/watch?v=xBenpJNznJA
37,Ajnabee - Bhuvan Bam | Official Music Video |,8 Nov 2019,"15,031,481","47,967",1.1M,4:25,https://www.youtube.com/watch?v=_Dx9Qjod0s0
38,Ye Babloo Ji ka Raj Hai! | Nahi Jaana Please | BB Ki Vines,Premiered on 29 Oct 2019,"34,016,535","39,523",1.7M,5:16,https://www.youtube.com/watch?v=baZ1cVxiNtg
39,BB ka chota bhai?! | Khush-Khabri | BB Ki Vines,27 Sept 2019,"35,265,331","40,752",1.8M,4:25,https://www.youtube.com/watch?v=EJe3xxkzj5Y
40,Body ka strongest hissa kya hai? | Angry Masterji 14 | BB Ki Vines,Premiered on 5 Sept 2019,"40,523,866","50,310",2M,5:41,https://www.youtube.com/watch?v=_ey_1I1aJ5w
41,BB Ki Vines- | Paani Ki Samasya |,17 Aug 2019,"29,875,310","37,503",1.8M,5:50,https://www.youtube.com/watch?v=S6tVYpKZ2fo
42,Bablooji's ex? | Chakhne Pe Charcha |BB Ki Vines,16 Jul 2019,"39,939,921","60,726",2M,6:22,https://www.youtube.com/watch?v=szvRvkQRyGg
43,BB Ki Vines- | Detective Mangloo |,Premiered on 7 Jul 2019,"29,885,431","43,303",1.6M,6:45,https://www.youtube.com/watch?v=b0Go-EZEc4M
44,Family Cruise Trip | Light Gayi Hai! | BB Ki Vines,17 Jun 2019,"37,332,363","42,295",1.9M,5:33,https://www.youtube.com/watch?v=r6k3NdKoMX8
45,BB Ki Vines- | Unprotected Fax |,Premiered on 4 Jun 2019,"30,000,429","34,896",1.5M,5:12,https://www.youtube.com/watch?v=nvmOhpuIhfI
46,BB Ki Vines- | The Brighter Side |,10 May 2019,"20,860,024","135,906",2.2M,5:10,https://www.youtube.com/watch?v=RcOOMlJHRH0
47,Bubbly sir's last day | Angry Masterji 13 | BB Ki Vines,Premiered on 27 Apr 2019,"49,694,627","41,347",2.1M,8:12,https://www.youtube.com/watch?v=Wg-ZgiQvlTY
48,BB Ki Vines (Vlog #6)- | BB in USA |,6 Apr 2019,"13,673,512","36,277",869K,6:47,https://www.youtube.com/watch?v=Tv1Z4jvcgws
49,Dosti Karke Dhoka Mila! | Holi Ke Laddoo | BB Ki Vines,Premiered on 22 Mar 2019,"33,759,876","43,804",1.7M,7:00,https://www.youtube.com/watch?v=v9mxKGJ7Nv0
50,BB Ki Vines- Bhuvan Bam- Bas Mein | Official Music Video |,Premiered on 2 Mar 2019,"22,841,469","63,791",1.4M,3:35,https://www.youtube.com/watch?v=oBfRJplcSuk
51,Naughty Ghaziabad | Titu Talks Ep 02 ft. Johnny Sins  @SinsTV  | BB Ki Vines,Premiered on 23 Feb 2019,"51,634,215","95,485",2.8M,7:54,https://www.youtube.com/watch?v=dLhKPgAotSQ
52,800 ka kaccha kaun pehenta hai?! | Faaltu Kharcha | BB Ki Vines,1 Feb 2019,"37,419,602","55,329",2M,4:24,https://www.youtube.com/watch?v=g0CWxEuN2VI
53,Bhuvan Ka Birthday! | Itni Thand English Jhand | BB Ki Vines,Premiered on 22 Jan 2019,"54,372,054","67,585",2.3M,7:02,https://www.youtube.com/watch?v=OIr31AZtVSk
54,BB Ki Vines- | The Salesman- Part 2 |,22 Dec 2018,"29,463,191","51,620",1.4M,4:37,https://www.youtube.com/watch?v=kk99KdrraJI
55,Wife Ko Impress Karne Ke 3 Shabd! | Titu Talks Ep 01 ft. Shah Rukh Khan | BB Ki Vines,Premiered on 15 Dec 2018,"47,235,948","68,788",2.9M,13:07,https://www.youtube.com/watch?v=zsjK04TqQq0
56,I made a Johnny Sin  | Ghar Ke Kaagaz | BB Ki Vines,8 Dec 2018,"34,504,184","58,832",1.7M,7:28,https://www.youtube.com/watch?v=lXQgSJsqLyw
57,Bhuvan Bam- | Girl Child Education- A YouTube Impact Lab Initiative |,4 Dec 2018,"3,798,487","13,136",421K,0:28,https://www.youtube.com/watch?v=MGeC6aZkz74
58,Bablooji gone DEAF?! | Diwali pe Diwala | BB Ki Vines,10 Nov 2018,"40,369,602","56,444",1.7M,8:15,https://www.youtube.com/watch?v=9sgzsesyCew
59,Plus Minus | Divya Dutta & Bhuvan Bam | Short Film,14 Sept 2018,"29,356,991","167,732",2.2M,18:08,https://www.youtube.com/watch?v=jKyXUJceZ6k
60,How to impress your date | Dating Hutiyapa | BB Ki Vines,11 Sept 2018,"36,160,976","81,259",1.6M,8:31,https://www.youtube.com/watch?v=n3zHrXTVrH0
61,Bubbly sir is hopeless dad?! | Angry Masterji- Part 12 | BB Ki Vines,4 Sept 2018,"38,375,146","59,741",1.5M,7:16,https://www.youtube.com/watch?v=fMK6n3JqfMw
